user,date,komentar,reviewCreatedVersion
Dede Hariyanto,2025-05-17 12:51:04,aplikasi ko Makn d update makin buruk ingng ngecek kuota saj sulit.....sdh Klir cacheash sj ga guna...,8.7.0
Alex Lumban Gaol,2025-05-17 12:46:24,"jaringan kayak bujang lh ,leg kli udalah harga mahal GK sesuai dengan kualitas",8.7.0
fajar adam,2025-05-17 12:43:01,sinyal nya lemoooot bgt.. penurunan kualitas...,8.7.0
Halal Bihalal,2025-05-17 12:42:49,mantap,8.7.0
M Aril,2025-05-17 12:39:43,"sudah mahal buka apk nya lolak""lagi kimai sehh",8.7.0
Panjaitan Anugrah,2025-05-17 12:39:34,"sudah seminggu saya lihat lihat terus ingin lihat kuota tapi ga bisa bisa, ayo dong Telkomsel...sudah banyak yang memberikan bintang 1 dan ulasan buruk...masak ga ad perbaikan sama sekali?? percuma kalian ngecap perusahaan kalian provider terbaik...tapi kenyataan sangat buruk...beli mahal mahal. tidak seperti yang lain, yang harganya lebih murah, cara pakainya simpel...kalian terlalu banyak fitur yang ga berguna sehingga memperberat aplikasi😤😤",8.7.0
Yezimo (Nanang),2025-05-17 12:38:37,"Erorr, bukan hanya erorr aplikasi nya tapi kecepatan jaringan e lemot parah,ini sudah 3 mingguan terjadi bukan hanya aku dan kota ku tapi kota laen juga begitu, mengapa? jika begini terus aku juga ga bakalan make provider Telkomsel. udah dongo,tetep aja ga ngaruh,sebaiknya kalian memperbaikinya aku juga ga mau berlama-lama jika kualitas e begini dengan harga yg sangat mahal 🤣",8.7.0
best seller,2025-05-17 12:29:39,"login pake nomor lama banget, ganti aja ke email biar cepet",8.7.0
Suryadi mono,2025-05-17 12:27:28,kalau hujan jaringan mu jeleeeek,8.7.0
herin dwiatmoko,2025-05-17 12:26:03,"setiap mau login harus input ulang no hp, kesulitan kalau berada didaerah tidak terjangkau signal telkomsel",8.7.0
Kamal udin,2025-05-17 12:24:53,bagus banget untuk pembelian,8.7.0
Nana Nanata,2025-05-17 12:23:01,stpid... kenapa tambah nik foto KTP segala? oey Lo itu pinjol ato apa. ada iklan lagi. blok.. knepa makin rumit sih. lebih bagus versi awal. simple. bisa ganti2 nomer. ringan. ini update Mlah tambah ribet. blok... go... blok...,8.7.0
Fadli Maulana,2025-05-17 12:16:43,kualitas benner² rendah... jelek untuk digunakan sehari²,8.7.0
Nomasdedo,2025-05-17 12:16:00,"Tolong di update lagi dong agar kode login bisa lewat pesan WhatsApp. Kartu SIM saya sudah lebih dari 2 tahun tidak digunakan karena hilang, tapi saya masih menggunakan nomor itu di Aplikasi WhatsApp sampai saat ini. Update lagi agar bisa login lewat akun google atau email. Saya sempat ngurus ke GraPARI untuk cetak ulang kartu tapi ngak bisa. Kata pegawai GraPARI, nomor yang udah lama ngak aktif tidak bisa di cetak ulang. Saya harap agar kartu yang sudah lama tidak aktif bisa di cetak ulang.",8.7.0
CIMOT GAMING Official,2025-05-17 12:06:46,"untuk sekarang sangat susah mengakses my Telkomsel, loading nya lama dan tidak juga segera di perbaiki, saya tidak bisa cek kuota saya lagi di my Telkomsel, apakah aplikasi ini sangat tidak berguna??? yaa benar sekali tidak berguna 👍🏼",8.7.0
Shin Chan13,2025-05-17 12:04:12,tolong kasih orang lah biar kita bisa bicara sama orang jangan sama bot . susah mau komplain kek gmna beli kuota dri pagi gak masuk2 d wallet dana udah terpotong,8.7.0
Muhammad Dito,2025-05-17 12:02:12,Tolong kembalikan promo 10rb 10 gb saya dong MyTelkomsel.,8.7.0
Rizal 1606,2025-05-17 11:59:31,internet amat sangat terlalu lambatttttttttttt,8.7.0
Ahmad Avi,2025-05-17 11:57:26,sekarang jaringan Telkomsel lemotnya parah banget,8.7.0
Abdul Kasim,2025-05-17 11:57:22,"harga paket mahal, kualitas jaringan buruk. perbaiki lagi dan untuk harga paket nya mohon dikurangi untuk kenyamanan bersama🙏",8.7.0
Depot jamu chanell,2025-05-17 11:52:27,"kok sinyal nya dah mulai lelet skrg ya,padahal 4 garis jaringan nya gak jalan susah amat,ngecek paket dan pulsa lewat app ini aja susah bgt buka nya...",8.7.0
Engkos Kosasih,2025-05-17 11:51:45,cek kuota data di aplikasi tidak akurat.. dan setiap buka aplikasi bufer terus.. padahal baru di clear chace..,8.7.0
Asyifa,2025-05-17 11:51:41,saldo saya tersedot aplikasi ini my telkomsel lebih dari 40rb walaupun nominal nya tidak terlalu besar namun sangat merugikan bagi saya saya sangat kecewa dengan aplikasi ini,8.7.0
Axel Junov,2025-05-17 11:50:28,membantu,8.7.0
Fiklyandra Wiyudawardhana,2025-05-17 11:49:20,"sinyalnya sekarang jelek banget ya?? biasanya ujan sinyal bagus ini malah ngelag parah, beli paketan mahal mahal kualitas sinyal jelek parah. benerinlah harga ga sesuai kualitas gimna ni?? kartu terburuk tahun ini kah?",8.7.0
Jana jana,2025-05-17 11:49:05,"skrng jadi susah di buka my Telkomsel nya,loading trusss padahal kuota masih banyak,jaringan bagus",8.7.0
Gordon Manik,2025-05-17 11:46:03,"baru instal langsung error, bintang 1, harusnya tanpa bintang, jelek bgt aplikasi ini !!!! baru update malah lag dan lambat bgt, terutama klaim poin, dari dulu lambat bgt aplikasinya",8.7.0
ADI Gaming,2025-05-17 11:44:31,"maaf min mau tanya,, knp saat dihubungkan ke akun dana tidak bisa",8.7.0
Agung Prasetio,2025-05-17 11:43:19,kartu anj,8.7.0
Doddy Abdullah,2025-05-17 11:36:39,kenapa sekarang paket Telkomsel sangat lambat,8.7.0
Fauzi Alfian,2025-05-17 11:33:05,buka apk tidak update kuota TOLONG PERBAIKI !,8.7.0
Rizky Skyy,2025-05-17 11:31:13,"jaringan ngelag trs blkngan ini+msuk apk ini sering kluar"" sndiri",8.7.0
Jaka Sabil,2025-05-17 11:26:03,tambah jelek...pooolll,8.7.0
Ferdii 2405,2025-05-17 11:25:22,Telkomsel korupsi,8.7.0
Agus Dermawan,2025-05-17 11:22:12,"harga kuota makin mahal, koneksi internet ga pernah stabil, klo kuota mahal internet stabil oke aja, lah ini internet nya ga pernah jelas, ampun dah sama telkomsel sekarang",8.7.0
Aldy Maranatha,2025-05-17 11:21:58,"aplikasi yang bikin ribet,sudah dimsukin kode verifikasi malah bilang terjadi kesalahan,nyesal pake telkomsel",8.7.0
Nizam nizamakbar,2025-05-17 11:20:36,jelek,8.7.0
Indah,2025-05-17 11:20:04,"harga paketnya jadi makin mahal, kenapa harus dinaikin sih harganya! mana paketnya jga di turunin yg awalnya 28gb jdi 10gb!",8.7.0
Nizza Nizza,2025-05-17 11:16:08,bagus 👍,8.7.0
Gamble Zy,2025-05-17 11:15:57,saya butuh bonus kuota dikala darurat,8.7.0
alvian sakir,2025-05-17 11:14:42,makin hari makin parah bahkan engga bisa digunakan.. udh belli kouta mahal mahal malah engga bisa di pake ..,8.7.0
Hellen Yen,2025-05-17 11:10:40,ok,8.7.0
Agus Juventus,2025-05-17 11:09:35,"Makin lama makin Mahal Signal makin Busuk, ga ada peningkatan",8.7.0
Evan Ramadhan,2025-05-17 11:09:24,"tolong perbaiki tu loading nya lama bgt padahal mau beli paket/cek paket. saran aja kalau mau update benerin dlu tu keluhan nya di mana,kenapa aku kasih B5 biar kesorot paling atass",8.7.0
Bocil Rantau,2025-05-17 11:08:40,lemot,8.7.0
AKI 娘,2025-05-17 11:05:34,lading nya mana bet njirrr,8.7.0
Sabihan,2025-05-17 11:05:33,Yoo osz,8.7.0
Raphael Hiroaki,2025-05-17 11:03:27,SANGATTTTTT TIDAK BAGUS....... JELEK BUKA APLIKASI PUN TIDAK BISA....,8.7.0
Mamang Trapi Hikmah,2025-05-17 10:58:09,"telkomsel operator yang sangat licik. kita tinggal di jawa barat. malah di tampilkan kuota2 dilokasi serang. mana deskripsi awalnya koluota bisa di seluruh jaringan. eh pas di beli hanya daerah serang pandeglang saja. apa apaan ini, menipu konsumen. kalau jualan itu sesuaikan dong dengan domisili si pengguna. rugi banget tiap kali beli cuma berlaku di serang saja. aplikasi mafia",8.7.0
Lutfi Wahyu,2025-05-17 10:55:25,"beeat betul di buka, hrs di hapus dl baru instal ulang baru mau terbuka",8.7.0
Sutiyono,2025-05-17 10:55:21,TELKOMSEL SANGAT LEMOOOT MENEKETEHEEEK 👎👎👎👎,8.7.0
Gagodoh Cau,2025-05-17 10:54:22,"sekarang mau cek paket suka ngebug terus, susah mau cek paket kita berapa laginya udh di restart ulang juga tetep sama percuma",8.7.0
Ahmad Akmal,2025-05-17 10:50:54,"sudah sering lapor tapi belum ada tindak lanjut. informasinya overload dari beberapa tahun yang lalu. jaringan internet tsel lalod. restart sudah. mau laporan bagaimana lagi? alamat Poleang Timur, Bombana, Sultra",8.7.0
Rosa 123,2025-05-17 10:48:20,𝐬𝐚𝐧𝐠𝐚𝐭 𝐛𝐞𝐫𝐠𝐮𝐧𝐚 𝐛𝐚𝐠𝐢 𝐬𝐚𝐲𝐚,8.7.0
Rajaf Nana,2025-05-17 10:48:02,tolong di perbaiki lagi saya beli kuota susah masuk nya,8.7.0
Alda Aditya,2025-05-17 10:37:49,"kenapa akhir-akhir ini suka delay atau lag saat masuk ke aplikasi nya, padahal sinyal bagus sama kuota banyak, saya kasih bintang 5 biar banyak yg liat keluhan saya ini",8.7.0
ryan prabowo,2025-05-17 10:35:26,"suka lemot ... muter muter padahal jaringan bagus, banyak fitur gak bisa digunakan",8.7.0
Dian Aula,2025-05-17 10:33:10,aplikasinya terlalu berat. loadingnya lama,8.7.0
Akim Davash,2025-05-17 10:31:15,tolong sinyalnya dong ini saya dijkrt lho posisi masa susah sinyal,8.7.0
agung limbong,2025-05-17 10:23:17,"telkomsel ee. jaringan nya cuman bisa di pake buat nelpon aja, gausah di beli dah telkomsel ini. kalo nge game ga terharapkan,mending kartu lain aja",8.7.0
Aulia Fika,2025-05-17 10:16:04,"halo kak☺. aplikasinya udah bagus kok, cuma ada beberapa fitur yang ngeleg pdhl cuma mau ngecek kouta tpi lama bgtt nungguinya tpi udah bagus kok aplikasinya ttp semangat kak semoga ada perbaikan yah biar ga ngeleg dan lama lagi, semangat terus.☺😊💪☺",8.7.0
Baguss :V,2025-05-17 10:09:07,aplikasi lemot + paket kuota ada yg di hapus,8.7.0
MCMUD STUDIO,2025-05-17 10:07:37,"semenjak aplikasi Indihome di gabung dgn ini, laporan masalah Indihome jadi lebih lama & berbelit 👎👎👎👎",8.7.0
Ono Satrio,2025-05-17 10:02:44,perbaiki Min nih apk kuota doang mahal.! masa kalah sama apk operator lain.,8.7.0
daffa dary alfarizi,2025-05-17 09:59:38,susah sekali buka aplikasi my Telkomsel..loadingny lama...SDH keluar masuk tetap saja loading lama.,8.7.0
bungul Pintar,2025-05-17 09:58:43,jaringan lelet parah,8.7.0
Besari Arkan Amrullah,2025-05-17 09:58:38,"loading nya lama banget, di tunggu lebih dari 15mnt tetep aja loading muter"" mulu",8.7.0
Indra Surya,2025-05-17 09:55:15,jaringannya lemot,8.7.0
Muhammad Fadli,2025-05-17 09:55:05,terus tingkat kn karna sangat membantu,8.7.0
Uli Afriliana,2025-05-17 09:52:56,sangat baik,8.7.0
yego patinasarani,2025-05-17 09:50:05,"Dari bintang 3 aku kasih bintang 5, alasannya sudah tidak ada lagi kendala terkait layanan Telkomsel, terimakasih sudah berinovasi menjadi lebih baik.",8.7.0
Febriani Dju hegi,2025-05-17 09:46:25,Sangat bagus,8.7.0
rifani ifan,2025-05-17 09:41:03,Aplikasi paling lelet yang pernah ada.,8.7.0
Hadi Saputra,2025-05-17 09:35:43,sering gangguan sistem mau nyoba menghubungkan ke Dana ga bisa2 tolong min di perbaiki lagi!!,8.7.0
rooney228 Amelia,2025-05-17 09:35:05,dibuka aja susah bener,8.7.0
Arif Sukma,2025-05-17 09:32:15,mantap mudah cepat,8.7.0
I W,2025-05-17 09:31:46,"Payah aplikasi nya, tiba"" nanti server sedang sibuk, trs suruh login ulang, loading lama padahal paket data masih banyak+sinyal bagus, saya kadang emosi dan kesal, hanya itu yang membuat saya kecewa. SAYA SANGAT KECEWA.",8.7.0
naws cloud,2025-05-17 09:26:09,JARINGAN PENUH PAKET 80GB AKTIF TAPI GAK KEPAKE..MUTER TERUS DI REFRESH PULUHAN KALI GAK NGARUH..AMPUN,8.7.0
Tatang Mahmudi,2025-05-17 09:17:30,liat my Telkomsel aja susah....kalo ada bintang seperempat dr bintang satu.....aq pasti ngasih yg seperempat.....,8.7.0
portal berjangka,2025-05-17 09:15:22,jaringan telkomsel kalah sama produk swasta,8.7.0
Ihsan Kalasahan,2025-05-17 09:14:43,"aplikasi ampas, jaringan bagus buka nih apk loading nya seabad, nyoba ngehubungin akun dana malah gagal, udah 10x gua nyoba dan gagal mulu",8.7.0
reisa wahyu rianto,2025-05-17 09:12:33,paket ilped jadi mahal banget,8.7.0
Muhammad Aldino Bariudin,2025-05-17 09:10:42,"Beli pulsa,paket disini lebih murah dan dengan fitur jaga pulsa tidak takut lagi pulsa terpotong dikala kuota habis😎",8.7.0
Mal.,2025-05-17 09:08:28,laaaagggg,8.7.0
Yobel Tyanarrha,2025-05-17 09:06:57,"Aplikasi lambat, untuk liat sisa kuota loading lama.. tidak berkompeten",8.7.0
Ber ber,2025-05-17 09:06:45,paket tidak bisa di beli? dan selalu ada pemberitahuan gangguan sistem,8.7.0
Dinan Ginansyah,2025-05-17 09:06:17,Loading lama...,8.7.0
Kang Santri,2025-05-17 09:04:43,kenapa sekarang telkomsel lemot parahh jaringanya,8.7.0
Fajar Asta Perdana,2025-05-17 09:04:20,lemot,8.7.0
Tegar Wira,2025-05-17 09:03:54,saya minta tolong buat my telkomsel buat penukaran poin bisa lasung 10 poin atau 50 poin di tuker jangan satu satu jadi susah poin saya ada 1000 masa harus tuker satu satu kan ribet ya,8.7.0
Lukman Hakim,2025-05-17 08:52:18,sangat membantu 👍🏻,8.7.0
Edo Pranata,2025-05-17 08:51:00,aplikasinya sangat menarik saya kasih bintang 5,8.7.0
Alonso Olano,2025-05-17 08:48:20,"Halo My Telkomsel,saya pelanggan setia My Telkomsel, banyak orang juga ternyata yang terganggu sama popup rekomendasi paket data, yang buat cukup lemot saat mau cek paket data dan mau beli paket data juga,saran saya lebih ringankan aplikasi agar enak dipakai semua device dan hilangkan popup rekomendasi paket data nya,dan juga akhir-akhir ini saya suka mengalami sinyal yang buruk sesaat,saat bermain game, untuk itu mohon diperbaiki apa yang kurangnya, terimakasih.",8.7.0
Andini Izatyy,2025-05-17 08:36:05,"plis kenapa si lemottt bgtt, padahal data aku buat buka apk lain lancar lancar aja, tp buat buka m telkomsel jd haduh",8.7.0
Misbahul Ulum,2025-05-17 08:34:35,kenapa susah amat sambungin ewalet KE DANA ANJENG,8.7.0
Dirjo Jo,2025-05-17 08:30:01,sangat membantu saya ketika mau beli paket data atau pulsa 👍,8.7.0
Dimas Setiawan,2025-05-17 08:29:02,"Jaringan hilang-hilang sendiri, ngak stabil.",8.7.0
Zhang Jin Li,2025-05-17 08:23:47,"YA AMPUN BRU KALI INI ISI PULSA JELAS NOMOR ORGTUA SAYA TAPI MALAH MASUK KE NOMOR TELPON SAYA ASTAGAAAA.... SAYA EMNG BELI PULSA DRI AKUN SY UNTUK MAMA PAPA SAYA, BARU 17 MEI 2025 INI LAH ERROR MALAH MASUK KE NOMOR SAYA 😪 cape deh.... MANA SYA KIRA SAYA YG SALAH JD ISI SAMPAI BERKALI"" busukny",8.7.0
De Bugg,2025-05-17 08:19:05,"Permasalahan harusnya sederhana, dan soulisnya sederhana tapi cs gabisa nyelesaiinnya. mau itu yg di 188 atau email. ini gw saran demi kebaikan BUMN TELKOM NI YE. Buang yg ga kompeten rekrut yg lagi yg kompeten. gimana orng mau milih produk telkom kalo gini kak... masak kalah sama cs shope atau bca kak.",8.7.0
julfan MkS,2025-05-17 08:15:49,good,8.7.0
Ade wijaya,2025-05-17 08:12:56,setiap hari delay mulu kalo mau main gem aneh setiap pake kuota gratisan pasti delay ngeleg obong obong kuoata gratisan kos kitu blegug,8.7.0
Sara Licha,2025-05-17 08:07:10,"aplikasi susah dibuka, padahal sudah hapus cache dan jaringan stabil kualitas aplikasi turun banget mohon segera diperbaiki kedepannya",8.7.0
Bot MᎥnᎥon,2025-05-17 08:06:54,aplikasi berat. jaringan lelet. fitur2 ngak ada yang berguna. cek kouta internet aja ngak bisa,8.7.0
GG GAMERZ,2025-05-17 08:06:38,"kok mulai kemaren' Telkomsel sinyalnya jadi jelek gini sihh apa lgi buat main gme free fire ataupun mobile legends itu ngeleg bngt walupun sinyal gme nya bagus tpi jaringan Telkomsel nya ngeleg bngt saya tidak bisa bermain game dengan tenang bahkan di saat sore hari sampe mlm sinyalnya tambahh parahh sampe' gaa bisa buat main gme, tolong lah pihak Telkom di perbaiki semoga di notif Mksih pihak Telkomsel",8.7.0
Egi Ardi.K.,2025-05-17 08:04:27,jadi lemot banget buat masuk aplikasinya,8.7.0
Adnan Alaris,2025-05-17 08:04:03,"sinyal buat game berat banget, padahal mobile legend doang paket full tidak lancar sinyal",8.7.0
X KANGKUNGG9 (ashar regarzz),2025-05-17 08:03:13,kuotanya membingungkan dibeli 10 gb baru di pakai 7gb udh ga ada kuotanya bukan sekali sering terjadiii sudah make kartu ini 6 tahun ga ada perubahan tolong diperbaiki kalau jadi provider itu yang jujur,8.7.0
Poetra Abigail,2025-05-17 08:01:09,susah buka aplikasi nya,8.7.0
Channel Inspirasi,2025-05-17 07:56:02,"error, susah login",8.7.0
Antonio novazora,2025-05-17 07:54:17,lemotnyaaaaaaa,8.7.0
Ibexxx,2025-05-17 07:52:56,"buffering mulu gblog. edit: aplikasinya benerin sat bukan hp gua yang disuruh restart, masa tiap mau buka aplikasi harus log out lalu login lagi biar ga buffering asu",8.7.0
Ershy Isnay'in,2025-05-17 07:52:48,terlalu lambat saat login ke aplikasi,8.7.0
Muhammad Bakri,2025-05-17 07:40:33,lemot banget aplikasinya,8.7.0
Rukayat Darojan,2025-05-17 07:30:42,oke,8.7.0
Mori Jin,2025-05-17 07:23:58,"apk nya loadingnya lama banget gmn masuknya kocak dah,perbaiki dong padahal banyak yg ngeluh apk lemot tapi gak di tangani",8.7.0
Big Dob,2025-05-17 07:23:39,keren bang,8.7.0
Pandev Hs,2025-05-17 07:16:39,kenapa yah tiba2 quota nya ilang 5gb padahal ga d pake? apakah ada yg ngalamin hal sama dengan saya???,8.7.0
Toton Ridwan,2025-05-17 07:07:29,ok,8.7.0
Sugeng Yayuk,2025-05-17 07:05:49,"tadinya aku kasih bintang 5,mohon maaf sekarang aku kasih 2 soalnya makin parah,masak untuk cek kuota aja lama banget kadang malah nggak bisa padahal paket kuotanya masih 6 gb,parah banget pokoknya",8.7.0
Hiroo ',2025-05-17 07:03:09,"apk nya ntah kenapa susah bgt di buka, ngelag parah, pdhl sinyal amann",8.7.0
Syarief Gaming,2025-05-17 07:02:27,update jadi beratttt bgttt,8.7.0
ZIFA ZAFIRA,2025-05-17 06:54:40,lemot banget jirrrrrrrrr,8.7.0
Arif Prayoga,2025-05-17 06:45:27,aplikasi lemot sekali jika membuka fitur fitur yang ada,8.7.0
Ezha Julianz,2025-05-17 06:33:29,top,8.7.0
Ahmad Fauzy,2025-05-17 06:33:18,"loading aja terus,sampe paket gua abis,ini apk bapuk banget",8.7.0
fran asterisk,2025-05-17 06:25:59,beli paket data tapi paketnya ga aktif. duit melayang tapi ga dapat apa-apa,8.7.0
Aidil Fitriyansyah,2025-05-17 06:25:31,"jaringanmu sangat lemot telkomsel, parah",8.7.0
ari baceng,2025-05-17 06:22:09,"harus ganti kartu bulan ini..sinyal intrnet semakin lama semakin jelek.kouta banyak percumah ga kepake. ga ada peringatan sama sekali paket habis langsung sedot pulsa seadanya adanya habis , sedot wc tanpa peringatan paket habis langsung sedot pulsa seada adanya",8.7.0
Septilas Nila Voni,2025-05-17 06:21:49,"APLIKASI PROVIDER BERAT BENER, MAIN ML GRAFIK ULTRA LEBIH RINGAN DARIPADA BUKA APLIKASI MY TELKOMSEL INI, PADAHAL JARINGAN FULL TAPI BUKA MY TELKOMSEL LELET LOADING LAMA DAN APKLIKASINYA BERAT BENER SAMPAI LAG. . PULSA SAYA DISEDOT SAMA TELKOMSEL. KUOTANYA MAHAL-MAHAL PARAH. KUALITAS JARINGAN JUGA BIASA AJA KENCENG GA LELET TAPI KUOTA MAHAL",8.7.0
Eko Jheremy O,2025-05-17 06:21:31,"aplikasi teribet yang pernah saya gunakan, selain itu saat lapor kendala Indihome chat balasan dari sana nya nda muncul pas di klik dan apk terlalu berat padahal tujuan apk di buat untuk mempermudah pembelian paket dan pembayaran",8.7.0
Rohadi Atmojo,2025-05-17 06:18:16,"makin kesini Telkomsel makin tidak jelas,beli paket lewat aplikasi orange 35GB,sms masuk 19GB cek mytelkomsel 27GB",8.7.0
Dany Pratama,2025-05-17 06:17:52,"Aplikasi paling payah, aplikasi begini aja kok beratnya minta ampun. Kalau bisa kasih bintang negatif mungkin sudah saya kasih negatif",8.7.0
Dwi Haryanto,2025-05-17 06:16:56,loading amat sangat lama....,8.7.0
Julio Fransiska,2025-05-17 06:15:44,aplikasi lelet kata keong,8.7.0
Ipang Nt,2025-05-17 06:11:41,"terlalu banyak fitur yang tidak begitu penting, sehingga membuat aplikasi my Telkomsel menjadi berat, di beberapa smartphone menjadi lemot, sedangkan kita pelanggan setia my Telkomsel memerlukan akses yang cepat untuk melakukan transaksi dll.",8.7.0
Suhendri Mr,2025-05-17 06:08:43,"Semenjak melakukan verifikasi data, banyak pesan mencurigakan setiap muncul pesan ""JANGAN BERIKAN KEPADA SIAPAPUN, WASPADA TERHADAP PENIPUAN! Kode verifikasi anda xxx dan aktif dalam 3 menit. Abaikan jika Anda tidak meminta kode ini. Info 188"" dan itu gak cuma 1x, kalo dikalkulasikan bisa sampai ratusan perhari. Seketika itu juga ada banyak berlangganan konten yang aktif, padahal aku udah lakuin seperti yang diinstruksikan melalui pesan masuk Telkomsel ""Abaikan.. "" pas cek di *500# hmm geleng².",8.7.0
Aniroh,2025-05-17 06:06:52,cek pulsa dan kuota lebih mudah dengan aplikasi my Telkomsel #Kalcer,8.7.0
Tutorial Ga Mutu,2025-05-17 05:56:27,"nilai 5 untuk indihome nya. awal langganan 40 mbps prnh pindah akun gegara hrg lebih murah dibanding pelanggan baru. setelah pindah, ambil 40mbps selang beberapa bulan dpt loyalty bonus jadi 50mbps. setelah 2 tahun dapat loyalty speed 150mbps dengan tagihan yang sama. TEEIMAKASIH SUDAH MENGHARGAI PELANGGAN LAMA",8.7.0
Arni Rantelimbong,2025-05-17 05:55:08,"app sangat berat, banyak update dan fitur gak jelas",8.7.0
Yanti Apung,2025-05-17 05:48:14,"apalah, perusahaan besar, aplikasi murahan",8.7.0
ABD RACHMAN,2025-05-17 05:47:11,sangat puas,8.7.0
debora d. tan,2025-05-17 05:43:24,"mau login tidak bisa, sms tidak ada",8.7.0
Aditia Tri Kurniawan,2025-05-17 05:41:37,"Lola banget nih aplikasi mau cek kuota mau beli kuota serasa berat banget muter muter trus, padahal pake 5G. hadeuh... pecat ae yg maintain app nya, gabecus sejak lama",8.7.0
awenk wae,2025-05-17 05:36:13,sinyal bututtttt,8.7.0
Rengga Bagus Ariyanto,2025-05-17 05:29:52,"update malah lemot & berat,",8.7.0
Hasan Asan,2025-05-17 05:26:00,jaringan aman² aja setiap buka aplikasinya pasti lemot aplikasi apa ini.,8.7.0
Rajudin Bucue,2025-05-17 05:24:46,sinyal sangat jelek akhir² ini padahal gue tinggal di jakarta,8.7.0
Alatif Rizki,2025-05-17 05:12:35,"selama pake app ini gampang pilih paket, ga ribet2 ketik * dll...sinyal lancar jaya, klo paket habis mau beli lagi cukup minta wifi teman sebentar dan selesai... edit 17052025 jaringanya busuk....",8.7.0
Ojan,2025-05-17 05:03:23,"pulsa sering banget hilang sendiri padahal ga ada masalah apa2 dan paket on terus, pinter ni apk korupsi dari pengguna dikit2 lama2 jadi bukit.kecewa gw nyolong trus",8.7.0
arif kurnia pratama,2025-05-17 05:00:21,mantap 🫶,8.7.0
satria dibrata,2025-05-17 04:44:47,terlalu lama loadingnya,8.7.0
Alex Koboi,2025-05-17 04:42:29,"admin tsel perbaikan jaringan Telkomsel rakus ini apl minta update kita cuma kerjain misi stam ngeleg nya parah , pas kita liat video Tik tok video fb nonton bolep di chrome lancar, dasar apl bangke",8.7.0
Oppoa Qy,2025-05-17 04:36:18,"mahal semuanya dah kaget aku kurangi dikit lah harganya diluar nalar bet harga nya,aku biasanya beli paket harga segitu walau mahal tapi aku tetap itu dan udah nyaman malah di hilangin dan sekarang di luar nalar semua 🗿",8.7.0
Sendy Yohanes,2025-05-17 04:28:30,bagus,8.7.0
Abba Gultom,2025-05-17 04:09:20,jaringan ngelag parah,8.7.0
Muhammad Hw,2025-05-17 03:58:56,"aplikasinya sekarang lemot banget,susah saat login.tlong tingkatkan lgi dong min kyk dlu🙏.untuk smntra ini saya ksih bntang 1 dlu ya.klo udah bgus, full bintangnya nnti🙏",8.7.0
Rifki Kurniawan,2025-05-17 03:58:27,"sinyalnya parah di kota serang, ga recomended pake telkomsel disini. ulasannya jelek semua tapi kok ratingnya diatas 4 aneh",8.7.0
Reagan Reagan,2025-05-17 03:58:18,"kalau habis beli paket kuota di sini pasti abis beli besok nya kadang ga ada internet jadi buang buang uang saya,jaringan nya jelek",8.7.0
Darmawin,2025-05-17 03:56:27,Kok Ada iya yg Kasih Bintang 5 App Super Lelet\Lemot ...tetap lelet/Lemot Apuuuun.. tiap buka tiap lelet tiap buka tiap lemot,8.7.0
doni naki kio,2025-05-17 03:51:43,"Aplikasi jelek bgt njirr, Lemot, mau cek kuota lemotnya musti hapus data mulai ulang, bnyk iklan, mahal pula",8.7.0
ilham sekti,2025-05-17 03:48:32,"tidak dapat melakukan transaksi 10:19, sab, 17 mei 2025. setelah restart hp baru bisa, sebelumnya restart apknya nga mau. di dalam aplikasi lemot menggunakan device poco x3 pro.",8.7.0
Cohang Indra,2025-05-17 03:39:51,"terlalu banyak bug nya padahal jaringan 4.5G kok ketika cek kuota masa harus cek di kode dial,di cek di aplikasi Telkomsel masih utuh kuotanya aneh banget,,ada apa operator Telkomsel, aplikasi semakin galat tapi saya tidak menyalahkan admin Telkomsel tetapi aplikasi nya belum ter'uji di aplikasi play store",8.7.0
Restu Andrian,2025-05-17 03:39:46,setelah gabung dengan Indihome.. respon komplain Indihome lama... dlu cepat2 aja laporan langsung teknisi konfirmasi.. ini dari pagi sampai siang gak ada teknisi yg hubunging saya..,8.7.0
Hp OPPO,2025-05-17 03:26:49,"sekarang perlu berhati-hati klik apapun yang berhubungan dgn Telkomsel, saya klik nomer hp penjual di Facebook marketplace saat mau chat ke penjual nya, pas klik itu tau2 muncul SMS pembelian paket darurat 15.000 untuk 1,5GB dgn tagihan saat isi pulsa,, padahal paket data saya masih ada 1GB dan masa aktif paket data saya masih 2 Minggu lagi, sehari-hari saya full pake WiFi.. paket darurat Telkomsel jadi seperti jebakan Batman saja, pembelian tanpa konfirmasi, merugikan pengguna, MENGECEWAKAN !!",8.7.0
Sky Gaming,2025-05-17 03:26:39,Banyak sekali promo² yang menarik 🥵 dan tolong segera di perbaiki masalah login soalnya sering harus ngisi ulang no gawai tapi gak apa apalah saran: banyakkin promo lagi Note:gak ada aplikasi yang sempurna semangat mimin Telkomsel,8.7.0
Ady vaZha,2025-05-17 03:25:24,paket mahal apk lemot,8.7.0
Kevin St,2025-05-17 03:23:11,kacau,8.7.0
andrian agusta,2025-05-17 03:14:32,kebanyakan bug. tidak ada perbaikan pdhal ratting sudah bnyk yg bintang 1. sangat mengabaikan,8.7.0
Endang Alam,2025-05-17 03:13:19,oke,8.7.0
